,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,0,0,1,0,0,1,1,0,92835216.00712194,26620087.93698693,84600000.0,760.9809333227935,0.010215359740083209
1,0,0,0,0,0,0,0,0,0,0,0,544162511.3824668,0.0,0.0,0.0,0.18137507007875237
2,0,0,0,0,0,1,2,1,3,0,1,88243056.45491093,124735571.72640125,0.0,833.9018046161486,0.008267328603679083
3,1,0,1,0,0,2,0,0,0,0,0,192717432.33787352,0.0,115300000.0,2878.8199057307384,0.009035532172360805
4,1,0,1,0,0,0,0,0,2,1,2,55826738.51548649,56066848.47612524,115300000.0,0.0,0.01596926405526152
5,0,0,0,0,0,2,0,0,0,0,0,544162511.3824668,0.0,0.0,4170.423800362589,0.027206260511812862
6,0,0,0,0,0,1,0,0,2,1,0,368728529.7072382,28488618.508469995,0.0,1285.4410117659477,0.03126385168995769
7,0,0,0,0,0,2,0,0,2,1,0,368728529.7072382,28488618.0,0.0,2134.0329296895616,0.013026604870815707
8,0,0,0,0,0,0,2,3,4,1,3,14051817.057750354,148173608.69455487,0.0,0.0,0.0033116522592421043
9,0,0,1,0,0,3,0,0,0,0,0,328388123.94621885,0.0,30700000.0,2019.533968699232,0.008855514301399038
10,1,0,0,0,0,1,0,0,0,0,0,264329101.89760333,0.0,84600000.0,1960.9925482582394,0.043452190914155725
11,1,0,0,1,0,0,0,0,0,0,0,104793613.56205969,0.0,205800000.0,0.0,0.04213195222675628
12,0,0,0,0,0,3,2,4,4,4,5,0.0,163389027.58207893,0.0,0.0,0.0
13,0,0,0,0,0,0,1,0,1,0,0,142249990.56698108,52994188.72148262,0.0,0.0,0.039017339699737696
14,0,0,0,0,0,0,0,0,2,0,0,375164743.686449,22167818.198803753,0.0,0.0,0.08780237161791955
15,1,0,0,0,0,1,0,0,0,1,0,257892887.91839254,6320800.309666242,84600000.0,1889.1595823346493,0.04310718882166238
16,0,0,1,0,0,0,0,0,0,0,0,328388123.94621885,0.0,30700000.0,0.0,0.07379595251165867
17,0,0,0,0,0,2,0,0,1,0,0,379104839.4711961,20299287.62732069,0.0,2297.470965089001,0.013501331727821536
18,0,0,1,0,0,2,0,0,0,0,0,328388123.94621885,0.0,30700000.0,1625.571849805253,0.0110693928767488
19,0,0,1,0,0,3,1,0,0,0,0,235695992.91852188,32694901.0,30700000.0,3807.585456946457,0.008390385890998312
20,1,0,0,0,0,0,0,0,1,1,0,92835216.00712194,26620087.93698693,84600000.0,0.0,0.02837599927800892
21,1,0,1,1,1,1,0,0,0,0,0,72239488.89398046,0.0,492600000.0,566.746445304989,0.010011265069459853
22,0,0,0,0,0,0,1,0,2,0,0,138309894.78223395,54862719.29296569,0.0,0.0,0.03681083313218035
23,1,0,1,0,0,1,0,0,0,0,0,192717432.33787352,0.0,115300000.0,1734.06563733428,0.021685277213665925
24,1,0,0,0,0,2,0,0,0,0,0,264329101.89760333,0.0,84600000.0,3255.554035194343,0.018105079547564896
25,0,0,1,0,0,1,1,0,0,2,0,216481455.60899502,40026981.31368371,30700000.0,1634.061330501319,0.02412410175752757
26,1,0,1,1,0,2,0,0,0,0,0,72515100.4270092,0.0,236500000.0,942.7543060700004,0.004187849824895732
27,0,0,0,0,0,0,0,0,0,1,0,537726297.4032559,6320800.309666242,0.0,0.0,0.18041673093293753
28,0,0,1,1,0,2,0,0,0,0,0,308712139.0247141,0.0,151900000.0,1308.5161955679791,0.010402201320327046
29,0,0,1,0,0,0,2,0,0,0,0,192717432.33787352,37255203.23710208,30700000.0,0.0,0.060236881149072025
30,0,0,1,0,0,1,2,3,0,4,3,50553715.05488554,125144624.20474723,30700000.0,340.5055723360357,0.010158016606397445
31,1,0,0,0,0,0,0,0,0,0,0,264329101.89760333,0.0,84600000.0,0.0,0.12070053031709925
32,0,0,1,0,0,0,1,0,0,0,0,235695992.91852188,32694901.094161935,30700000.0,0.0,0.06991988242498595
33,0,0,1,1,0,3,0,0,0,0,0,308712139.0247141,0.0,151900000.0,1625.6389441409247,0.008321761056261633
34,1,0,1,0,0,0,0,0,0,1,0,177433503.26146728,6320800.309666242,115300000.0,0.0,0.05798542620549593
35,0,0,1,0,0,2,1,0,0,1,0,220412063.84211564,39015701.403828174,30700000.0,2779.5832354789927,0.01015026412221148
36,0,0,0,0,0,1,0,0,0,0,0,544162511.3824668,0.0,0.0,2512.0670421007594,0.06529502522835086
37,0,0,1,0,0,2,1,0,0,0,0,235695992.91852188,32694901.094161935,30700000.0,3064.81783939819,0.010487982363747893
38,1,0,0,1,0,2,0,0,0,0,0,104793613.56205969,0.0,205800000.0,1333.4538071347179,0.006319792834013443
39,0,0,0,0,0,1,0,0,1,0,0,379104839.4711961,20299287.62732069,0.0,1383.8883930889037,0.03240319614677168
40,1,0,1,0,0,0,0,0,0,0,0,192717432.33787352,0.0,115300000.0,0.0,0.060236881149072025
41,1,0,0,0,0,1,0,0,1,0,0,99271429.98633274,20299287.62732069,84600000.0,832.8138992463836,0.010560361832576554
42,1,0,1,1,1,2,0,3,2,3,3,2300662.7322020386,108815451.5008919,492600000.0,25.4208753165195,0.0001960182725836288
43,0,0,1,0,0,1,1,0,0,1,0,220412063.84211564,39015701.403828174,30700000.0,1674.290137135581,0.02436063389330754
44,1,0,0,1,0,1,0,0,0,0,0,104793613.56205969,0.0,205800000.0,803.2098226505593,0.015167502801632258
