A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,scenario,policy,model
4,220.08747082877204,10.0,0.1913384880860248,276.55035213093487,1.0,0.5347400545663449,279.4978334954378,1.0,0.836544068458533,51.3998491717848,1.5,0.2367254701615217,333.2840734884261,1.0,0.7890022107860428,2.5,3.5,2.5,0,Policy 0,dikesnet
62,62.24485158604695,1.5,0.9678677414947392,30.270445903828968,1.5,0.6502607931289706,231.64527951944595,1.5,0.7653257383136911,43.00448850406153,1.5,0.0193777959027635,88.41946183593615,1.5,0.7937588443897768,1.5,2.5,1.5,1,Policy 0,dikesnet
101,237.07748794326463,1.5,0.292300249043985,310.7115051168287,10.0,0.5736531965658042,320.45456937103216,1.5,0.7263373613094164,177.73780364028997,10.0,0.438550108269044,272.7452166436145,1.0,0.2956535831720306,1.5,4.5,1.5,2,Policy 0,dikesnet
116,72.16063542757387,10.0,0.5159488019654549,164.26559094089083,1.0,0.2840114457838889,345.9352596299185,10.0,0.025229032745302,31.794074426524627,1.0,0.0049820554206963,292.3813238688596,1.0,0.632454271720111,1.5,4.5,1.5,3,Policy 0,dikesnet
32,35.69810762118597,10.0,0.4913630982329692,185.97446049057376,1.5,0.9597688490626428,334.10661026317325,10.0,0.0869427876081084,216.99676199689867,1.0,0.424481913043069,154.04553635410855,1.0,0.5012857346292692,3.5,1.5,4.5,4,Policy 0,dikesnet
125,331.2237702518857,1.5,0.9588027078654774,247.00272366724408,10.0,0.847251799328888,198.01146129541428,1.5,0.6804484699181592,110.62792199475427,1.0,0.6228727106122989,94.61788696186052,1.5,0.4283329771672252,3.5,1.5,3.5,5,Policy 0,dikesnet
63,104.88160298403176,1.5,0.2894816485243395,248.74342461022133,1.5,0.1478065420529067,222.130239780818,1.0,0.0059595035478933,118.24696168498812,1.5,0.0770917521048349,328.25315593045394,1.5,0.4774018596100566,3.5,4.5,1.5,6,Policy 0,dikesnet
60,279.5483504949494,1.5,0.575468474969376,199.98504516777285,1.5,0.6140747446194544,235.0450928520924,1.5,0.9434987787597902,106.01356264781502,1.5,0.1394089627267322,269.24465447321086,1.0,0.7423973387273491,1.5,4.5,3.5,7,Policy 0,dikesnet
90,86.33423236312541,1.5,0.3771422650304924,295.0613446084501,1.5,0.0902629925805191,40.54721599473207,10.0,0.3147495031350084,55.74660474502683,10.0,0.0309121361140063,111.71589380899124,1.0,0.7102815122215153,3.5,4.5,2.5,8,Policy 0,dikesnet
128,265.27618498365524,10.0,0.690366024138094,204.00266056760717,1.5,0.8163713771554343,214.2931224695987,10.0,0.2933834957627481,236.4107609179085,1.0,0.5318362000746015,77.84573025456498,1.0,0.7176524312904752,3.5,1.5,4.5,9,Policy 0,dikesnet
80,228.0384568664854,1.5,0.2133382516646176,310.25415367617853,1.5,0.7054097709220696,300.9381388666855,10.0,0.90944530225549,302.30837820108553,1.5,0.4787328703433713,222.66183771551255,1.5,0.79458339695445,1.5,3.5,2.5,10,Policy 0,dikesnet
